"jobID" "execution_time" "real_execution_time" "execution_time_difference"
12 2190.82 2239 48.1799999999998
71 290.53 301 10.47
133 593.59 622 28.41
139 2190.82 2241 50.1799999999998
161 290.53 304 13.47
187 290.53 304 13.47
210 2190.82 2259 68.1799999999998
