batsim_id,oar_id
0,3201
1,3202
2,3203
3,3204
4,3205
5,3206
6,3207
7,3208
8,3209
9,3210
10,3211
11,3212
12,3213
13,3214
14,3215
15,3216
16,3217
17,3218
18,3219
19,3220
20,3221
21,3222
22,3223
23,3224
24,3225
25,3226
26,3227
27,3228
28,3229
29,3230
30,3231
31,3232
32,3233
33,3234
34,3235
35,3236
36,3237
37,3238
38,3239
39,3240
40,3241
41,3242
42,3243
43,3244
44,3245
45,3246
46,3247
47,3248
48,3249
49,3250
50,3251
51,3252
52,3253
53,3254
54,3255
55,3256
56,3257
57,3258
58,3259
59,3260
60,3261
61,3262
62,3263
63,3264
64,3265
65,3266
66,3267
67,3268
68,3269
69,3270
70,3271
71,3272
72,3273
73,3274
74,3275
75,3276
76,3277
77,3278
78,3279
79,3280
80,3281
81,3282
82,3283
83,3284
84,3285
85,3286
86,3287
87,3288
88,3289
89,3290
90,3291
91,3292
92,3293
93,3294
94,3295
95,3296
96,3297
97,3298
98,3299
99,3300
100,3301
101,3302
102,3303
103,3304
104,3305
105,3306
106,3307
107,3308
108,3309
109,3310
110,3311
111,3312
112,3313
113,3314
114,3315
115,3316
116,3317
117,3318
118,3319
119,3320
120,3321
121,3322
122,3323
123,3324
124,3325
125,3326
126,3327
127,3328
128,3329
129,3330
130,3331
131,3332
132,3333
133,3334
134,3335
135,3336
136,3337
137,3338
138,3339
139,3340
140,3341
141,3342
142,3343
143,3344
144,3345
145,3346
146,3347
147,3348
148,3349
149,3350
150,3351
151,3352
152,3353
153,3354
154,3355
155,3356
156,3357
157,3358
158,3359
159,3360
160,3361
161,3362
162,3363
163,3364
164,3365
165,3366
166,3367
167,3368
168,3369
169,3370
170,3371
171,3372
172,3373
173,3374
174,3375
175,3376
176,3377
177,3378
178,3379
179,3380
180,3381
181,3382
182,3383
183,3384
184,3385
185,3386
186,3387
187,3388
188,3389
189,3390
190,3391
191,3392
192,3393
193,3394
194,3395
195,3396
196,3397
197,3398
198,3399
199,3400
200,3401
201,3402
202,3403
203,3404
204,3405
205,3406
206,3407
207,3408
208,3409
209,3410
210,3411
211,3412
212,3413
213,3414
214,3415
215,3416
216,3417
217,3418
218,3419
219,3420
220,3421
221,3422
222,3423
223,3424
224,3425
225,3426
226,3427
227,3428
228,3429
229,3430
230,3431
231,3432
232,3433
233,3434
234,3435
235,3436
236,3437
237,3438
238,3439
239,3440
240,3441
241,3442
242,3443
243,3444
244,3445
245,3446
246,3447
247,3448
248,3449
249,3450
250,3451
251,3452
252,3453
253,3454
254,3455
255,3456
256,3457
257,3458
258,3459
259,3460
260,3461
261,3462
262,3463
263,3464
264,3465
265,3466
266,3467
267,3468
268,3469
269,3470
270,3471
271,3472
272,3473
273,3474
274,3475
275,3476
276,3477
277,3478
278,3479
279,3480
280,3481
281,3482
282,3483
283,3484
284,3485
285,3486
286,3487
287,3488
288,3489
289,3490
290,3491
291,3492
292,3493
293,3494
294,3495
295,3496
296,3497
297,3498
298,3499
299,3500
300,3501
301,3502
302,3503
303,3504
304,3505
305,3506
306,3507
307,3508
308,3509
309,3510
310,3511
311,3512
312,3513
313,3514
314,3515
315,3516
316,3517
317,3518
318,3519
319,3520
320,3521
321,3522
322,3523
323,3524
324,3525
325,3526
326,3527
327,3528
328,3529
329,3530
330,3531
331,3532
332,3533
333,3534
334,3535
335,3536
336,3537
337,3538
338,3539
339,3540
340,3541
341,3542
342,3543
343,3544
344,3545
345,3546
346,3547
347,3548
348,3549
349,3550
350,3551
351,3552
352,3553
353,3554
354,3555
355,3556
356,3557
357,3558
358,3559
359,3560
360,3561
361,3562
362,3563
363,3564
364,3565
365,3566
366,3567
367,3568
368,3569
369,3570
370,3571
371,3572
372,3573
373,3574
374,3575
375,3576
376,3577
377,3578
378,3579
379,3580
380,3581
381,3582
382,3583
383,3584
384,3585
385,3586
386,3587
387,3588
388,3589
389,3590
390,3591
391,3592
392,3593
393,3594
394,3595
395,3596
396,3597
397,3598
398,3599
399,3600
400,3601
401,3602
402,3603
403,3604
404,3605
405,3606
406,3607
407,3608
408,3609
409,3610
410,3611
411,3612
412,3613
413,3614
414,3615
415,3616
416,3617
417,3618
418,3619
419,3620
420,3621
421,3622
422,3623
423,3624
424,3625
425,3626
426,3627
427,3628
428,3629
429,3630
430,3631
431,3632
432,3633
433,3634
434,3635
435,3636
436,3637
437,3638
438,3639
439,3640
440,3641
441,3642
442,3643
443,3644
444,3645
445,3646
446,3647
447,3648
448,3649
449,3650
450,3651
451,3652
452,3653
453,3654
454,3655
455,3656
456,3657
457,3658
458,3659
459,3660
460,3661
461,3662
462,3663
463,3664
464,3665
465,3666
466,3667
467,3668
468,3669
469,3670
470,3671
471,3672
472,3673
473,3674
474,3675
475,3676
476,3677
477,3678
478,3679
479,3680
480,3681
481,3682
482,3683
483,3684
484,3685
485,3686
486,3687
487,3688
488,3689
489,3690
490,3691
491,3692
492,3693
493,3694
494,3695
495,3696
496,3697
497,3698
498,3699
499,3700
500,3701
501,3702
502,3703
503,3704
504,3705
505,3706
506,3707
507,3708
508,3709
509,3710
510,3711
511,3712
512,3713
513,3714
514,3715
515,3716
516,3717
517,3718
518,3719
519,3720
520,3721
521,3722
522,3723
523,3724
524,3725
525,3726
526,3727
527,3728
528,3729
529,3730
530,3731
531,3732
532,3733
533,3734
534,3735
535,3736
536,3737
537,3738
538,3739
539,3740
540,3741
541,3742
542,3743
543,3744
544,3745
545,3746
546,3747
547,3748
548,3749
549,3750
550,3751
551,3752
552,3753
553,3754
554,3755
555,3756
556,3757
557,3758
558,3759
559,3760
560,3761
561,3762
562,3763
563,3764
564,3765
565,3766
566,3767
567,3768
568,3769
569,3770
570,3771
571,3772
572,3773
573,3774
574,3775
575,3776
576,3777
577,3778
578,3779
579,3780
580,3781
581,3782
582,3783
583,3784
584,3785
585,3786
586,3787
587,3788
588,3789
589,3790
590,3791
591,3792
592,3793
593,3794
594,3795
595,3796
596,3797
597,3798
598,3799
599,3800
600,3801
601,3802
602,3803
603,3804
604,3805
605,3806
606,3807
607,3808
608,3809
609,3810
610,3811
611,3812
612,3813
613,3814
614,3815
615,3816
616,3817
617,3818
618,3819
619,3820
620,3821
621,3822
622,3823
623,3824
624,3825
625,3826
626,3827
627,3828
628,3829
629,3830
630,3831
631,3832
632,3833
633,3834
634,3835
635,3836
636,3837
637,3838
638,3839
639,3840
640,3841
641,3842
642,3843
643,3844
644,3845
645,3846
646,3847
647,3848
648,3849
649,3850
650,3851
651,3852
652,3853
653,3854
654,3855
655,3856
656,3857
657,3858
658,3859
659,3860
660,3861
661,3862
662,3863
663,3864
664,3865
665,3866
666,3867
667,3868
668,3869
669,3870
670,3871
671,3872
672,3873
673,3874
674,3875
675,3876
676,3877
677,3878
678,3879
679,3880
680,3881
681,3882
682,3883
683,3884
684,3885
685,3886
686,3887
687,3888
688,3889
689,3890
690,3891
691,3892
692,3893
693,3894
694,3895
695,3896
696,3897
697,3898
698,3899
699,3900
700,3901
701,3902
702,3903
703,3904
704,3905
705,3906
706,3907
707,3908
708,3909
709,3910
710,3911
711,3912
712,3913
713,3914
714,3915
715,3916
716,3917
717,3918
718,3919
719,3920
720,3921
721,3922
722,3923
723,3924
724,3925
725,3926
726,3927
727,3928
728,3929
729,3930
730,3931
731,3932
732,3933
733,3934
734,3935
735,3936
736,3937
737,3938
738,3939
739,3940
740,3941
741,3942
742,3943
743,3944
744,3945
745,3946
746,3947
747,3948
748,3949
749,3950
750,3951
751,3952
752,3953
753,3954
754,3955
755,3956
756,3957
757,3958
758,3959
759,3960
760,3961
761,3962
762,3963
763,3964
764,3965
765,3966
766,3967
767,3968
768,3969
769,3970
770,3971
771,3972
772,3973
773,3974
774,3975
775,3976
776,3977
777,3978
778,3979
779,3980
780,3981
781,3982
782,3983
783,3984
784,3985
785,3986
786,3987
787,3988
788,3989
789,3990
790,3991
791,3992
792,3993
793,3994
794,3995
795,3996
796,3997
797,3998
798,3999
799,4000
