batsim_id,oar_id
0,1598
1,1599
2,1600
3,1601
4,1602
5,1603
6,1604
7,1605
8,1606
9,1607
10,1608
11,1609
12,1610
13,1611
14,1612
15,1613
16,1614
17,1615
18,1616
19,1617
20,1618
21,1619
22,1620
23,1621
24,1622
25,1623
26,1624
27,1625
28,1626
29,1627
30,1628
31,1629
32,1630
33,1631
34,1632
35,1633
36,1634
37,1635
38,1636
39,1637
40,1638
41,1639
42,1640
43,1641
44,1642
45,1643
46,1644
47,1645
48,1646
49,1647
50,1648
51,1649
52,1650
53,1651
54,1652
55,1653
56,1654
57,1655
58,1656
59,1657
60,1658
61,1659
62,1660
63,1661
64,1662
65,1663
66,1664
67,1665
68,1666
69,1667
70,1668
71,1669
72,1670
73,1671
74,1672
75,1673
76,1674
77,1675
78,1676
79,1677
80,1678
81,1679
82,1680
83,1681
84,1682
85,1683
86,1684
87,1685
88,1686
89,1687
90,1688
91,1689
92,1690
93,1691
94,1692
95,1693
96,1694
97,1695
98,1696
99,1697
100,1698
101,1699
102,1700
103,1701
104,1702
105,1703
106,1704
107,1705
108,1706
109,1707
110,1708
111,1709
112,1710
113,1711
114,1712
115,1713
116,1714
117,1715
118,1716
119,1717
120,1718
121,1719
122,1720
123,1721
124,1722
125,1723
126,1724
127,1725
128,1726
129,1727
130,1728
131,1729
132,1730
133,1731
134,1732
135,1733
136,1734
137,1735
138,1736
139,1737
140,1738
141,1739
142,1740
143,1741
144,1742
145,1743
146,1744
147,1745
148,1746
149,1747
150,1748
151,1749
152,1750
153,1751
154,1752
155,1753
156,1754
157,1755
158,1756
159,1757
160,1758
161,1759
162,1760
163,1761
164,1762
165,1763
166,1764
167,1765
168,1766
169,1767
170,1768
171,1769
172,1770
173,1771
174,1772
175,1773
176,1774
177,1775
178,1776
179,1777
180,1778
181,1779
182,1780
183,1781
184,1782
185,1783
186,1784
187,1785
188,1786
189,1787
190,1788
191,1789
192,1790
193,1791
194,1792
195,1793
196,1794
197,1795
198,1796
199,1797
200,1798
201,1799
202,1800
203,1801
204,1802
205,1803
206,1804
207,1805
208,1806
209,1807
210,1808
211,1809
212,1810
213,1811
214,1812
215,1813
216,1814
217,1815
218,1816
219,1817
220,1818
221,1819
222,1820
223,1821
224,1822
225,1823
226,1824
227,1825
228,1826
229,1827
230,1828
231,1829
232,1830
233,1831
234,1832
235,1833
236,1834
237,1835
238,1836
239,1837
240,1838
241,1839
242,1840
243,1841
244,1842
245,1843
246,1844
247,1845
248,1846
249,1847
250,1848
251,1849
252,1850
253,1851
254,1852
255,1853
256,1854
257,1855
258,1856
259,1857
260,1858
261,1859
262,1860
263,1861
264,1862
265,1863
266,1864
267,1865
268,1866
269,1867
270,1868
271,1869
272,1870
273,1871
274,1872
275,1873
276,1874
277,1875
278,1876
279,1877
280,1878
281,1879
282,1880
283,1881
284,1882
285,1883
286,1884
287,1885
288,1886
289,1887
290,1888
291,1889
292,1890
293,1891
294,1892
295,1893
296,1894
297,1895
298,1896
299,1897
300,1898
301,1899
302,1900
303,1901
304,1902
305,1903
306,1904
307,1905
308,1906
309,1907
310,1908
311,1909
312,1910
313,1911
314,1912
315,1913
316,1914
317,1915
318,1916
319,1917
320,1918
321,1919
322,1920
323,1921
324,1922
325,1923
326,1924
327,1925
328,1926
329,1927
330,1928
331,1929
332,1930
333,1931
334,1932
335,1933
336,1934
337,1935
338,1936
339,1937
340,1938
341,1939
342,1940
343,1941
344,-5
345,1942
346,1943
347,1944
348,1945
349,1946
350,1947
351,1948
352,1949
353,1950
354,1951
355,1952
356,1953
357,1954
358,1955
359,1956
360,1957
361,1958
362,1959
363,1960
364,1961
365,1962
366,1963
367,1964
368,1965
369,1966
370,1967
371,1968
372,1969
373,1970
374,1971
375,1972
376,1973
377,1974
378,1975
379,1976
380,1977
381,1978
382,1979
383,1980
384,1981
385,1982
386,1983
387,1984
388,1985
389,1986
390,1987
391,1988
392,1989
393,1990
394,1991
395,1992
396,1993
397,1994
398,1995
399,1996
400,1997
401,1998
402,1999
403,2000
404,2001
405,2002
406,2003
407,2004
408,2005
409,2006
410,2007
411,2008
412,2009
413,2010
414,2011
415,2012
416,2013
417,2014
418,2015
419,2016
420,2017
421,2018
422,2019
423,2020
424,2021
425,2022
426,2023
427,2024
428,2025
429,2026
430,2027
431,2028
432,2029
433,2030
434,2031
435,2032
436,2033
437,2034
438,2035
439,2036
440,2037
441,2038
442,2039
443,2040
444,2041
445,2042
446,2043
447,2044
448,2045
449,2046
450,2047
451,2048
452,2049
453,2050
454,2051
455,2052
456,2053
457,2054
458,2055
459,2056
460,2057
461,2058
462,2059
463,2060
464,2061
465,2062
466,2063
467,2064
468,2065
469,2066
470,2067
471,2068
472,2069
473,2070
474,2071
475,2072
476,2073
477,2074
478,2075
479,2076
480,2077
481,2078
482,2079
483,2080
484,2081
485,2082
486,2083
487,2084
488,2085
489,2086
490,2087
491,2088
492,2089
493,2090
494,2091
495,2092
496,2093
497,2094
498,2095
499,2096
500,2097
501,2098
502,2099
503,2100
504,2101
505,2102
506,2103
507,2104
508,-5
509,2105
510,2106
511,2107
512,2108
513,2109
514,2110
515,2111
516,2112
517,2113
518,2114
519,2115
520,2116
521,2117
522,2118
523,2119
524,2120
525,2121
526,2122
527,2123
528,2124
529,2125
530,2126
531,2127
532,2128
533,2129
534,2130
535,2131
536,2132
537,2133
538,2134
539,2135
540,2136
541,2137
542,2138
543,2139
544,2140
545,2141
546,2142
547,2143
548,2144
549,2145
550,2146
551,2147
552,2148
553,2149
554,2150
555,2151
556,2152
557,2153
558,2154
559,2155
560,2156
561,2157
562,2158
563,2159
564,2160
565,2161
566,2162
567,2163
568,2164
569,2165
570,2166
571,2167
572,2168
573,2169
574,2170
575,2171
576,2172
577,2173
578,2174
579,2175
580,2176
581,-5
582,2177
583,2178
584,2179
585,2180
586,2181
587,2182
588,2183
589,2184
590,2185
591,2186
592,2187
593,2188
594,2189
595,2190
596,2191
597,2192
598,2193
599,2194
600,2195
601,2196
602,2197
603,2198
604,2199
605,2200
606,2201
607,2202
608,2203
609,2204
610,2205
611,2206
612,2207
613,2208
614,2209
615,2210
616,2211
617,2212
618,2213
619,2214
620,2215
621,2216
622,2217
623,2218
624,2219
625,2220
626,2221
627,2222
628,2223
629,2224
630,2225
631,2226
632,2227
633,2228
634,2229
635,2230
636,2231
637,2232
638,2233
639,2234
640,2235
641,2236
642,2237
643,2238
644,2239
645,2240
646,2241
647,2242
648,2243
649,2244
650,2245
651,2246
652,2247
653,2248
654,2249
655,2250
656,2251
657,2252
658,2253
659,2254
660,2255
661,2256
662,2257
663,2258
664,2259
665,2260
666,2261
667,2262
668,2263
669,2264
670,2265
671,2266
672,2267
673,2268
674,2269
675,2270
676,2271
677,2272
678,2273
679,2274
680,2275
681,2276
682,2277
683,2278
684,2279
685,2280
686,2281
687,2282
688,2283
689,2284
690,2285
691,2286
692,2287
693,2288
694,2289
695,2290
696,2291
697,2292
698,2293
699,2294
700,2295
701,2296
702,2297
703,2298
704,2299
705,2300
706,2301
707,2302
708,2303
709,2304
710,2305
711,2306
712,2307
713,2308
714,2309
715,2310
716,2311
717,2312
718,2313
719,2314
720,-5
721,2315
722,2316
723,2317
724,2318
725,2319
726,2320
727,2321
728,2322
729,2323
730,2324
731,2325
732,2326
733,2327
734,2328
735,2329
736,2330
737,2331
738,2332
739,2333
740,2334
741,2335
742,2336
743,2337
744,2338
745,2339
746,2340
747,2341
748,2342
749,2343
750,2344
751,2345
752,2346
753,2347
754,2348
755,2349
756,2350
757,2351
758,2352
759,2353
760,2354
761,2355
762,2356
763,2357
764,2358
765,2359
766,2360
767,2361
768,2362
769,2363
770,2364
771,2365
772,2366
773,2367
774,2368
775,2369
776,2370
777,2371
778,2372
779,2373
780,2374
781,2375
782,2376
783,2377
784,2378
785,2379
786,2380
787,2381
788,2382
789,2383
790,2384
791,2385
792,2386
793,2387
794,2388
795,2389
796,2390
797,2391
798,2392
799,2393
