submission_time_difference_mean,submission_time_difference_sd,execution_time_difference_mean,execution_time_difference_sd,waiting_time_difference_mean,waiting_time_difference_sd,turnaround_time_difference_mean,turnaround_time_difference_sd,stretch_difference_mean,stretch_difference_sd,makespan_difference,mean_stretch_difference,mean_waiting_time_difference,mean_turnaround_time_difference,workload_name,batsim_makespan,real_makespan,batsim_mean_stretch,real_mean_stretch,batsim_mean_waiting_time,real_mean_waiting_time,batsim_mean_turnaround_time,real_mean_turnaround_time
-19.09929828,0.293505514673073,1.24092799999999,3.27032136803355,-4.04470166,173.544744980701,-2.80377366,172.600147263594,0.376133411116241,11.536726892148,278.972,0.376133411116241,-4.04470166,-2.80377366000005,g5k_workload_delay_seed0_size34,6518.028,6797,4.820419188,5.19655259911624,102.82070166,98.776,321.75177366,318.948
-18.930322844,0.273313664142212,1.23770799999999,3.68358881431516,-23.001677156,126.354699734038,-21.763969156,126.398495723015,-2.02417408645766,8.38556593062428,485.18,-2.02417408645766,-23.001677156,-21.763969156,g5k_workload_delay_seed1_size34,6516.82,7002,4.174869428,2.15069534154234,52.521677156,29.52,285.567969156,263.804
-19.08223576,0.3005956110669,1.15221199999999,4.14375437209313,-3.861764232,7.11799637894611,-2.709552232,8.21401099156066,-0.297883082902068,2.32759788151168,-17.9300000000003,-0.297883082902069,-3.861764232,-2.70955223200002,g5k_workload_delay_seed2_size34,5370.93,5353,2.128736996,1.83085391309793,10.985764232,7.124,236.689552232,233.98
-18.395122276,0.268161128447695,1.09980799999999,4.00709076472231,50.163122284,219.12815560037,51.262930284,219.485608288938,0.690487442236266,13.5399912828376,39.6149999999998,0.690487442236266,50.163122284,51.262930284,g5k_workload_delay_seed3_size34,5343.385,5383,2.286004924,2.97649236623627,22.292877716,72.456,242.673069716,293.936
-20.595476428,0.300081839776694,1.66100799999999,6.55926692078377,126.255476492,324.427473853303,127.916484492,324.418763559859,5.74348791936321,33.2579527021266,-13.2200000000003,5.74348791936322,126.255476492,127.916484492,g5k_workload_delay_seed4_size34,6824.22,6811,3.837346392,9.58083431136322,61.572523508,187.828,279.047515508,406.964
-19.48729828,0.293147042744111,0.584927999999992,2.0819282118105,-1.504701668,65.8645485376571,-0.919773667999999,65.977696342127,-0.646299188332049,6.23286546564963,128.972,-0.646299188332049,-1.504701668,-0.919773668000005,g5k_workload_delay_seed0_size37,6507.028,6636,3.431152304,2.78485311566795,56.508701668,55.004,275.439773668,274.52
-18.406322844,0.304261476805555,0.345707999999993,1.11693711227944,-2.757677136,77.0835902757465,-2.411969136,77.1240286750685,-0.521707646131521,6.16143986413352,37.1800000000003,-0.521707646131521,-2.757677136,-2.41196913599998,g5k_workload_delay_seed1_size37,6387.82,6425,3.036364424,2.51465677786848,36.701677136,33.944,269.747969136,267.336
-19.30623576,0.301394133522852,0.388211999999993,0.9375893162573,-3.701764224,2.59139457745565,-3.313552224,2.75306169510629,-0.174003163033009,0.395162744951736,-19.9300000000003,-0.174003163033009,-3.701764224,-3.31355222400001,g5k_workload_delay_seed2_size37,5370.93,5351,1.286000684,1.11199752096699,5.977764224,2.276,231.681552224,228.368
-19.931476428,0.279573532268861,0.469007999999993,0.964520023347232,31.707476528,228.433786951078,32.176484528,228.417516626921,2.81185714132537,36.5833457625231,-727.82,2.81185714132537,31.707476528,32.176484528,g5k_workload_delay_seed4_size37,7282.82,6555,4.910635812,7.72249295332537,80.996523472,112.704,298.471515472,330.648
