batsim_id,oar_id
0,783
1,784
2,785
3,786
4,787
5,788
6,789
7,790
8,791
9,792
10,793
11,794
12,795
13,796
14,797
15,798
16,799
17,800
18,801
19,802
20,803
21,804
22,805
23,806
24,807
25,808
26,809
27,810
28,811
29,812
30,813
31,814
32,815
33,816
34,817
35,818
36,819
37,820
38,821
39,822
40,823
41,824
42,825
43,826
44,827
45,828
46,829
47,830
48,831
49,832
50,833
51,834
52,835
53,836
54,837
55,838
56,839
57,840
58,841
59,842
60,843
61,844
62,845
63,846
64,847
65,848
66,849
67,850
68,851
69,852
70,853
71,854
72,855
73,856
74,857
75,858
76,859
77,860
78,861
79,862
80,863
81,864
82,865
83,866
84,867
85,868
86,869
87,870
88,871
89,872
90,873
91,874
92,875
93,876
94,877
95,878
96,879
97,880
98,881
99,882
100,883
101,884
102,885
103,886
104,887
105,888
106,889
107,890
108,891
109,892
110,893
111,894
112,895
113,896
114,897
115,898
116,899
117,900
118,901
119,902
120,903
121,904
122,905
123,906
124,907
125,908
126,909
127,910
128,911
129,912
130,913
131,914
132,915
133,916
134,917
135,918
136,919
137,920
138,921
139,922
140,923
141,924
142,925
143,926
144,927
145,928
146,929
147,930
148,931
149,932
150,933
151,934
152,935
153,936
154,937
155,938
156,939
157,940
158,941
159,942
160,943
161,944
162,945
163,946
164,947
165,948
166,949
167,950
168,951
169,952
170,953
171,954
172,955
173,956
174,957
175,958
176,959
177,960
178,961
179,962
180,963
181,964
182,965
183,966
184,967
185,968
186,969
187,970
188,971
189,972
190,973
191,974
192,975
193,976
194,977
195,978
196,979
197,980
198,981
199,982
200,983
201,984
202,985
203,986
204,987
205,988
206,989
207,990
208,991
209,992
210,993
211,994
212,995
213,996
214,997
215,998
216,999
217,1000
218,1001
219,1002
220,1003
221,1004
222,1005
223,1006
224,1007
225,1008
226,1009
227,1010
228,1011
229,1012
230,1013
231,1014
232,1015
233,1016
234,1017
235,1018
236,1019
237,1020
238,1021
239,1022
240,1023
241,1024
242,1025
243,1026
244,1027
245,1028
246,1029
247,1030
248,1031
249,1032
