batsim_id,oar_id
0,1601
1,1602
2,1603
3,1604
4,1605
5,1606
6,1607
7,1608
8,1609
9,1610
10,1611
11,1612
12,1613
13,1614
14,1615
15,1616
16,1617
17,1618
18,1619
19,1620
20,1621
21,1622
22,1623
23,1624
24,1625
25,1626
26,1627
27,1628
28,1629
29,1630
30,1631
31,1632
32,1633
33,1634
34,1635
35,1636
36,1637
37,1638
38,1639
39,1640
40,1641
41,1642
42,1643
43,1644
44,1645
45,1646
46,1647
47,1648
48,1649
49,1650
50,1651
51,1652
52,1653
53,1654
54,1655
55,1656
56,1657
57,1658
58,1659
59,1660
60,1661
61,1662
62,1663
63,1664
64,1665
65,1666
66,1667
67,1668
68,1669
69,1670
70,1671
71,1672
72,1673
73,1674
74,1675
75,1676
76,1677
77,1678
78,1679
79,1680
80,1681
81,1682
82,1683
83,1684
84,1685
85,1686
86,1687
87,1688
88,1689
89,1690
90,1691
91,1692
92,1693
93,1694
94,1695
95,1696
96,1697
97,1698
98,1699
99,1700
100,1701
101,1702
102,1703
103,1704
104,1705
105,1706
106,1707
107,1708
108,1709
109,1710
110,1711
111,1712
112,1713
113,1714
114,1715
115,1716
116,1717
117,1718
118,1719
119,1720
120,1721
121,1722
122,1723
123,1724
124,1725
125,1726
126,1727
127,1728
128,1729
129,1730
130,1731
131,1732
132,1733
133,1734
134,1735
135,1736
136,1737
137,1738
138,1739
139,1740
140,1741
141,1742
142,1743
143,1744
144,1745
145,1746
146,1747
147,1748
148,1749
149,1750
150,1751
151,1752
152,1753
153,1754
154,1755
155,1756
156,1757
157,1758
158,1759
159,1760
160,1761
161,1762
162,1763
163,1764
164,1765
165,1766
166,1767
167,1768
168,1769
169,1770
170,1771
171,1772
172,1773
173,1774
174,1775
175,1776
176,1777
177,1778
178,1779
179,1780
180,1781
181,1782
182,1783
183,1784
184,1785
185,1786
186,1787
187,1788
188,1789
189,1790
190,1791
191,1792
192,1793
193,1794
194,1795
195,1796
196,1797
197,1798
198,1799
199,1800
200,1801
201,1802
202,1803
203,1804
204,1805
205,1806
206,1807
207,1808
208,1809
209,1810
210,1811
211,1812
212,1813
213,1814
214,1815
215,1816
216,1817
217,1818
218,1819
219,1820
220,1821
221,1822
222,1823
223,1824
224,1825
225,1826
226,1827
227,1828
228,1829
229,1830
230,1831
231,1832
232,1833
233,1834
234,1835
235,1836
236,1837
237,1838
238,1839
239,1840
240,1841
241,1842
242,1843
243,1844
244,1845
245,1846
246,1847
247,1848
248,1849
249,1850
250,1851
251,1852
252,1853
253,1854
254,1855
255,1856
256,1857
257,1858
258,1859
259,1860
260,1861
261,1862
262,1863
263,1864
264,1865
265,1866
266,1867
267,1868
268,1869
269,1870
270,1871
271,1872
272,1873
273,1874
274,1875
275,1876
276,1877
277,1878
278,1879
279,1880
280,1881
281,1882
282,1883
283,1884
284,1885
285,1886
286,1887
287,1888
288,1889
289,1890
290,1891
291,1892
292,1893
293,1894
294,1895
295,1896
296,1897
297,1898
298,1899
299,1900
300,1901
301,1902
302,1903
303,1904
304,1905
305,1906
306,1907
307,1908
308,1909
309,1910
310,1911
311,1912
312,1913
313,1914
314,1915
315,1916
316,1917
317,1918
318,1919
319,1920
320,1921
321,1922
322,1923
323,1924
324,1925
325,1926
326,1927
327,1928
328,1929
329,1930
330,1931
331,1932
